Stock Added,Stock Removed,Announcement Date,Add Date,Remove Date,Reason,GICS Added,GICS Removed
PSX,SVU,4/23/2012,4/30/2012,4/30/2012,Market Cap,Energy,Consumer Staples
FOSL,MHS,3/28/2012,4/3/2012,4/3/2012,Merger,Consumer Discretionary,Health Care
CCI,CEG,3/7/2012,3/13/2012,3/13/2012,Merger,Telecommunication Services,Utilities
WPX,CPWR,12/22/2011,12/30/2011,12/30/2011,Spin Off,Energy,Information Technolgy
TRIPV,TLAB,12/14/2011,12/20/2011,12/20/2011,Spin Off,Consumer Discretionary,Information Technolgy
AGL,GAS,12/8/2011,12/12/2001,12/12/2011,Merger,Utilities,Utilities
BWA,AKS,12/8/2011,12/16/2011,12/16/2011,Market Cap,Consumer Discretionary,Materials
PRGO,MWW,12/8/2011,12/16/2011,12/16/2011,Market Cap,Health Care,Information Technolgy
DLTR,WFR,12/8/2011,12/16/2011,12/16/2011,Market Cap,Consumer Discretionary,Information Technolgy
CMG,NOVL,4/20/2011,4/27/2011,4/24/2011,Merger,Consumer Discretionary,Information Technolgy
CAN,MI,6/27/2011,7/5/2011,7/5/2011,Merger,Information Technolgy,Financials
MPC,RSH,6/23/2011,6/30/2011,6/30/2011,Market Cap,Energy,Consumer Discretionary
XYL,ITT,10/24/2011,8/31/2011,8/31/2011,Spin Off,Industrials,Industrials
CBE,JNS,11/18/2011,11/22/2011,11/22/2011,Market Cap,Industrials,Industrials
NE,QLGC,1/11/2011,1/14/2011,1/14/2011,Market Cap,Energy,Information Technolgy
ANR,MEE,5/24/2011,6/1/2011,6/1/2011,Merger,Energy,Energy
AMB,PLD,5/26/2011,6/2/2011,6/2/2011,Merger,Financials,Financials
TEL,CEPH,10/11/2011,10/14/2011,10/14/2011,Merger,Information Technolgy,Health Care
MMI,MDP,12/22/2010,1/3/2011,1/3/2011,Spin Off ,Information Technolgy,Consumer Discretionary
EW,Q,3/24/2011,3/31/2011,3/31/2011,Merger,Health Care,Telecommunication Services
CVC,KG,12/9/2010,12/17/2010,12/17/2010,Merger,Consumer Discretionary,Health Care
FFIV,NYT,12/9/2010,12/17/2010,12/17/2010,Market Cap,Information Technolgy,Consumer Discretionary
NFLX,ODP,12/9/2010,12/17/2010,12/17/2010,Market Cap,Consumer Discretionary,Consumer Discretionary
NFX,EK,12/9/2010,12/17/2010,12/17/2010,Market Cap,Energy,Consumer Discretionary
OKE,BDK,3/3/2010,3/12/2010,3/12/2010,Merger,Utilities,Consumer Discretionary
KMX,XTO,6/22/2010,6/25/2010,6/25/2010,Merger,Consumer Discretionary,Energy
HO,RX,2/22/2010,2/26/2010,2/26/2010,Merger,Energy,Health Care
QEP,STR,6/23/2010,6/30/2010,6/30/2010,Spin Off,Energy,Utilities
IR,PTV,11/10/2010,11/26/2010,11/26/2010,Merger,Materials,Materials
TYC,SII,8/19/2010,8/26/2010,8/26/2010,Merger,Industrials,
ACE,MIL,7/8/2010,7/14/2010,7/14/2010,Merger,FInancials,
CERN,BJS,3/19/2010,4/29/2010,4/29/2010,Merger,Health Care,
MJN,MBI,12/11/2009,12/19/2009,12/19/2009,Spin Off,Consumer Staples,Financials
V,CIEN,12/11/2009,12/19/2009,12/19/2009,Market Cap,Information Technolgy,Information Technolgy
ROST,DYN,12/11/2009,12/19/2009,12/19/2009,Market Cap,Consumer Discretionary,Utilities
CLF,KBH,12/11/2009,12/19/2009,12/19/2009,Market Cap,Materials,Consumer Discretionary
SAI,CVG,12/11/2009,12/19/2009,12/19/2009,Market Cap,Information Technolgy,Information Technolgy
TWC,DDR,3/18/2009,3/27/2009,3/27/2009,Spin Off,Consumer Discretionary,
ORLY,NE,3/18/2009,3/27/2009,3/27/2009,Redomesticated,Consumer Discretionary,Energy
GM,DV,6/1/2009,6/2/2009,6/8/2009,Chapter 11,Consumer Discretionary,Consumer Discretionary
ARG,CBE,8/28/2009,9/8/2009,9/8/2009,Redomesticated,Materials,Industrials
ROP,ESV,12/15/2009,12/22/2009,12/22/2009,Redomesticated,Industrials,Energy
DNR,ROH,3/25/2009,4/1/2009,4/1/2009,Merger,Energy,Materials
HRL,ACAS,2/24/2009,3/3/2009,3/3/2009,Market Cap,Consumer Staples,Financials
VTR,JNY,2/24/2009,3/3/2009,3/3/2009,Market Cap,Financials,Consumer Discretionary
